"CODE_IRIS","COM","DEP","LIBCOM","LIBIRIS","TRIRIS","GRD_QUART","TYP_IRIS","MODIF_IRIS","LAB_IRIS","P13_POP","P13_POP0024_CALC","P13_POP1824","P13_POP65P","P13_POP0014","P13_POP1529","P13_POP3044","P13_POP4559","P13_POP6074","P13_POP75P"
"751082907","75108","75","Paris 8e Arrondissement","Concorde Jar Chps Elysees","750401","7510829","D","00","3",2,0,0,0,0,0,2,0,0,0
"751083104","75108","75","Paris 8e Arrondissement","Madeleine 4","750391","7510831","A","00","3",1057,330,152,124,149,278,303,140,126,60
"751083202","75108","75","Paris 8e Arrondissement","Europe 2","750421","7510832","H","00","1",1880,542,224,337,255,420,402,332,258,214
"751083108","75108","75","Paris 8e Arrondissement","Madeleine 8","750391","7510831","A","00","3",534,165,48,65,107,129,118,102,62,16
"751083203","75108","75","Paris 8e Arrondissement","Europe 3","750421","7510832","H","00","1",1608,475,207,198,223,338,322,398,226,101
"751083209","75108","75","Paris 8e Arrondissement","Europe 9","750421","7510832","A","00","3",1219,293,114,208,156,274,233,229,241,85
"751083105","75108","75","Paris 8e Arrondissement","Madeleine 5","750391","7510831","A","00","2",1012,266,113,215,119,226,185,195,202,85
"751083106","75108","75","Paris 8e Arrondissement","Madeleine 6","750391","7510831","A","00","2",1052,255,116,188,110,285,219,192,173,73
"751083107","75108","75","Paris 8e Arrondissement","Madeleine 7","750391","7510831","A","00","3",393,75,24,92,41,73,96,55,111,17
"751082906","75108","75","Paris 8e Arrondissement","Champs Elysees 6","750401","7510829","A","00","3",0,0,0,0,0,0,0,0,0,0
"751083204","75108","75","Paris 8e Arrondissement","Europe 4","750371","7510832","H","00","1",2678,822,316,449,382,702,518,469,398,209
"751083207","75108","75","Paris 8e Arrondissement","Europe 7","750381","7510832","H","00","2",2179,677,289,308,322,549,464,402,276,165
"751083208","75108","75","Paris 8e Arrondissement","Europe 8","750381","7510832","A","00","3",681,259,62,86,177,119,160,128,54,43
"751082901","75108","75","Paris 8e Arrondissement","Champs Elysees 1","750401","7510829","H","00","2",1404,448,169,257,207,326,253,292,211,115
"751083210","75108","75","Paris 8e Arrondissement","Europe 10","750421","7510832","A","00","3",1326,494,177,168,268,308,227,253,192,77
"751082904","75108","75","Paris 8e Arrondissement","Champs Elysees 4","750401","7510829","A","00","3",333,79,32,76,32,64,35,84,72,46
"751082905","75108","75","Paris 8e Arrondissement","Champs Elysees 5","750401","7510829","A","00","3",612,164,59,106,85,138,84,151,91,63
"751082902","75108","75","Paris 8e Arrondissement","Champs Elysees 2","750401","7510829","A","00","2",769,240,104,154,96,215,124,144,125,66
"751082903","75108","75","Paris 8e Arrondissement","Champs Elysees 3","750401","7510829","A","00","3",770,211,55,157,144,130,151,156,104,85
"751083006","75108","75","Paris 8e Arrondissement","Faubourg du Roule 6","750411","7510830","A","00","3",534,174,85,61,77,144,131,101,50,31
"751083101","75108","75","Paris 8e Arrondissement","Madeleine 1","750391","7510831","A","00","3",157,34,5,15,25,26,55,25,14,11
"751083102","75108","75","Paris 8e Arrondissement","Madeleine 2","750391","7510831","A","00","3",411,110,46,74,47,108,50,88,84,34
"751083103","75108","75","Paris 8e Arrondissement","Madeleine 3","750391","7510831","A","00","3",1254,420,134,109,229,300,325,236,124,40
"751083205","75108","75","Paris 8e Arrondissement","Europe 5","750371","7510832","H","00","1",3254,1179,540,449,546,859,647,550,417,234
"751083206","75108","75","Paris 8e Arrondissement","Europe 6","750381","7510832","H","00","1",2767,818,305,420,380,654,584,569,380,200
"751093409","75109","75","Paris 9e Arrondissement","Chaussee d'Antin 9","750481","7510934","A","00","3",558,159,86,19,61,230,166,72,19,10
"751093309","75109","75","Paris 9e Arrondissement","Saint-Georges 9","750431","7510933","H","00","2",2359,780,247,291,468,571,511,453,218,138
